name,total games,spawns,victories,defeats,deaths,ground_kills,air_kills,naval_kills,rp,sl,games,win rate,spawn / g,lvling,farm,ground / game,air / game,naval / game,ground / spawn,air / spawn,naval / spawn,ground / death,air / death,naval / death,mode,name_x,id,Class,Class,Move Type,Move Type,rank,BR / a,BR / a,BR / r,BR / r,BR / s,BR / s,BRTank / r,BRTank / r,BRTank / s,BRTank / s,country,Prem,Prem,Event,Event,Gift,Gift,Normal,Normal,Own
La-5FN,202456.0,211197.0,100967.0,101489.0,183286.0,42357.0,224493.0,1082.0,18914740.0,207269998.0,320606.0,0.4987108309953768,1.043174813292765,89.5597001851352,981.4059764106498,0.2092158296123602,1.10884834235587,0.005344371122614297,0.2005568260912797,1.0629554397079504,0.005123178833032666,0.23109784708051898,1.224823499885425,0.005903342317471056,arcade,la-5fn,la-5fn,exp_fighter,,air,,3.0,4.0,,3.7,,4.0,,,,,,ussr,False,,False,,False,,True,,True
Pz.III J,220696.0,223633.0,101668.0,119028.0,182741.0,160892.0,14839.0,,25951737.0,116490706.0,383987.0,0.4606698807409287,1.0133078986479138,116.04609784781316,520.9012355063877,0.7290209156486751,0.06723728567803676,,0.7194465933024196,0.06635425004359821,,0.8804373402794119,0.08120235743483947,,arcade,germ_pzkpfw_III_ausf_J_L42,germ_pzkpfw_III_ausf_J_L42,exp_tank,,tank,,1.0,2.3,,2.3,,2.3,,,,,,germany,False,,False,,False,,True,,True
Pz.III J1,238194.0,244177.0,109016.0,129178.0,204862.0,169931.0,15671.0,,29837814.0,159814725.0,437849.0,0.4576773554329664,1.0251181809785301,122.19747969710497,654.5035977999565,0.7134142757584154,0.0657909099305608,,0.6959336874480397,0.06417885386420506,,0.8294900957717878,0.0764953969013287,,arcade,germ_pzkpfw_III_ausf_J,germ_pzkpfw_III_ausf_J,exp_tank,,tank,,2.0,2.7,,2.7,,2.7,,,,,,germany,False,,False,,False,,True,,True
Bf 109 E-3,222521.0,232027.0,108653.0,113868.0,202725.0,59103.0,194661.0,1895.0,18482271.0,136060343.0,342934.0,0.4882820048444866,1.0427195635468114,79.65569093252078,586.3987510074259,0.26560639220567944,0.8747983336404205,0.008516050170545702,0.2547246656639098,0.838958397083098,0.008167152960646821,0.29154273029966704,0.9602219755826858,0.009347638426439759,arcade,bf-109e-3,bf-109e-3,exp_fighter,,air,,2.0,2.7,,2.3,,2.7,,,,,,germany,False,,False,,False,,True,,True
Pz.III L,194662.0,197844.0,89779.0,104883.0,161879.0,142325.0,13178.0,,28395308.0,217721935.0,425266.0,0.46120454942413003,1.0163462822738902,143.52372576373304,1100.4727714765168,0.731139102649721,0.0676968283486248,,0.7193799154889711,0.06660803461312953,,0.8792060736723109,0.08140648261973449,,arcade,germ_pzkpfw_III_ausf_L,germ_pzkpfw_III_ausf_L,exp_tank,,tank,,2.0,3.0,,3.0,,3.0,,,,,,germany,False,,False,,False,,True,,True
He 112 A-0,79686.0,82300.0,40188.0,39498.0,72305.0,9462.0,83859.0,196.0,4667541.0,18115860.0,106760.0,0.5043294932610496,1.032803754737344,56.71374240583232,220.11980558930742,0.11874105865522175,1.0523680445749568,0.0024596541425093493,0.11496962332928311,1.0189428918590522,0.002381530984204131,0.1308623193416776,1.1597953115275568,0.0027107392296521677,arcade,he_112a_0,he_112a_0,exp_fighter,,air,,1.0,1.7,,1.7,,2.0,,,,,,germany,False,,False,,False,,True,,True
Marder III,83141.0,84643.0,39244.0,43897.0,72479.0,79014.0,4378.0,,10443608.0,48047873.0,162971.0,0.4720174161965817,1.0180656956255036,123.38419006887752,567.6532377160545,0.9503614341901108,0.05265753358752,,0.9334971586545846,0.05172311945465071,,1.0901640475172119,0.06040370314159964,,arcade,germ_pzkpfw_38t_Marder_III,germ_pzkpfw_38t_Marder_III,exp_tank_destroyer,,tank,,1.0,2.3,,2.3,,2.3,,,,,,germany,False,,False,,False,,True,,True
Jagdpanzer 38(t),73874.0,75721.0,35274.0,38600.0,59357.0,77287.0,5350.0,,14906357.0,194139031.0,172275.0,0.4774886969705174,1.0250020304843381,196.8589559039104,2563.8730471071435,1.04620028697512,0.07242060806237648,,1.0206811848760582,0.07065411180517954,,1.3020705224320637,0.09013258756338764,,arcade,germ_jgdpz_38t,germ_jgdpz_38t,exp_tank_destroyer,,tank,,3.0,4.7,,4.3,,4.3,,,,,,germany,False,,False,,False,,True,,True
Pz.IV G,307512.0,313616.0,141144.0,166368.0,265270.0,233027.0,18504.0,,42286317.0,304551969.0,508601.0,0.4589869663622883,1.0198496318842842,134.8346927452681,971.0983144992603,0.7577818101407425,0.060173261531257315,,0.7430328809754604,0.05900209173001378,,0.8784521430994835,0.06975534361216873,,arcade,germ_pzkpfw_IV_ausf_G,germ_pzkpfw_IV_ausf_G,exp_tank,,tank,,2.0,3.7,,3.3,,3.3,,,,,,germany,False,,False,,False,,True,,True
▀CR.42,522.0,549.0,323.0,199.0,468.0,0.0,1693.0,0.0,2406.0,0.0,1793.0,0.6187739463601533,1.0517241379310345,4.382513661202186,0.0,0.0,3.243295019157088,0.0,0.0,3.083788706739526,0.0,0.0,3.6175213675213675,0.0,arcade,fiat_cr42,fiat_cr42,exp_fighter,,air,,1.0,1.7,,1.3,,1.3,,,,,,germany,False,,False,,False,,True,,True
Sd.Kfz. 6/2,72882.0,74753.0,34595.0,38287.0,53357.0,82511.0,32969.0,,11955973.0,55441022.0,195604.0,0.4746713866249554,1.025671633599517,159.93970810536032,741.6561475793613,1.132117669657803,0.4523613512252682,,1.1037817880218854,0.44103915561917245,,1.5463950372022415,0.6178945592893154,,arcade,germ_sdkfz_6_2_flak36,germ_sdkfz_6_2_flak36,exp_SPAA,,tank,,1.0,2.3,,2.3,,1.7,,,,,,germany,False,,False,,False,,True,,True
Pz.III M,194463.0,197679.0,89131.0,105332.0,164648.0,120862.0,14157.0,,27420817.0,234398254.0,387707.0,0.45834426086196345,1.0165378503879916,138.713859337613,1185.7519210437122,0.6215166895501972,0.07280048132549637,,0.6114053591934399,0.07161610489733355,,0.7340629707011321,0.08598343132014966,,arcade,germ_pzkpfw_III_ausf_M,germ_pzkpfw_III_ausf_M,exp_tank,,tank,,2.0,3.3,,3.3,,3.3,,,,,,germany,False,,False,,False,,True,,True
Pz.IV H,943804.0,962178.0,430000.0,513804.0,816682.0,698735.0,69242.0,,120944691.0,923119253.0,1441190.0,0.45560307012896745,1.019468025140813,125.69887380505479,959.4059030657529,0.7403390958292188,0.07336480879504644,,0.7262013889321934,0.07196381542708313,,0.85557781364105,0.08478453057616062,,arcade,germ_pzkpfw_IV_ausf_H,germ_pzkpfw_IV_ausf_H,exp_tank,,tank,,2.0,4.0,,3.7,,3.7,,,,,,germany,False,,False,,False,,True,,True
Tiger H1,1184932.0,1220454.0,548907.0,636025.0,996213.0,1067973.0,73343.0,,192299307.0,2503998068.0,1862268.0,0.46323924073280154,1.0299780915698116,157.56374840837918,2051.6939335689835,0.9012947578426441,0.06189637886393481,,0.8750620670668456,0.060094849949281166,,1.0720327881687952,0.07362180577848311,,arcade,germ_pzkpfw_VI_ausf_h1_tiger,germ_pzkpfw_VI_ausf_h1_tiger,exp_heavy_tank,,heavy_tank,,3.0,5.7,,5.7,,5.7,,,,,,germany,False,,False,,False,,True,,True
M2A4,257920.0,263358.0,128668.0,129252.0,218870.0,207179.0,17688.0,,30444143.0,63587307.0,439330.0,0.4988678660049628,1.0210840570719604,115.59984128069016,241.44816941197914,0.8032684553349876,0.06857940446650124,,0.7866820070018757,0.06716332900462488,,0.9465847306620369,0.08081509571891991,,arcade,us_m2a4,us_m2a4,exp_tank,,tank,,1.0,1.0,,1.0,,1.0,,,,,,usa,False,,False,,False,,True,,True
M2A2,27298.0,27528.0,12414.0,14884.0,23723.0,6242.0,3225.0,,1958854.0,4960332.0,83002.0,0.4547585903729211,1.008425525679537,71.15860215053763,180.1922406277245,0.228661440398564,0.11814052311524653,,0.22675094449287997,0.117153443766347,,0.263120178729503,0.1359440205707541,,arcade,us_m2a2,us_m2a2,exp_tank,,tank,,1.0,1.0,,1.0,,1.0,,,,,,usa,False,,False,,False,,True,,True
M2,64737.0,65513.0,30020.0,34717.0,54532.0,41283.0,5578.0,,7111367.0,17212365.0,142873.0,0.46372244620541575,1.0119869626334246,108.54894448430083,262.7320531802848,0.6377033226748228,0.08616401748613621,,0.6301497412727245,0.08514340665211485,,0.7570417369617839,0.10228856451257977,,arcade,us_m2_medium,us_m2_medium,exp_tank,,tank,,1.0,1.3,,1.3,,1.3,,,,,,usa,False,,False,,False,,True,,True
M3 Lee,140424.0,144617.0,65649.0,74775.0,121773.0,114719.0,9534.0,,21693773.0,107430520.0,257110.0,0.46750555460605026,1.029859568164986,150.00845682042913,742.8623190911165,0.8169472454851022,0.06789437702956759,,0.793260819958926,0.06592585933880526,,0.9420725448169955,0.078293217708359,,arcade,us_m3_lee,us_m3_lee,exp_tank,,tank,,2.0,2.3,,2.7,,2.7,,,,,,usa,False,,False,,False,,True,,True
M3 GMC,93118.0,95183.0,45318.0,47800.0,79974.0,117557.0,4924.0,,15767459.0,67293296.0,162713.0,0.486672823729032,1.0221761635773965,165.65415042602146,706.9886009056239,1.2624519426963638,0.05287914259326876,,1.235062983936207,0.05173192691972306,,1.469940230574937,0.061570010253332336,,arcade,us_halftrack_m3_75mm_gmc,us_halftrack_m3_75mm_gmc,exp_tank_destroyer,,tank,,1.0,1.7,,1.7,,1.7,,,,,,usa,False,,False,,False,,True,,True
M4A3 (105),345482.0,355916.0,157548.0,187934.0,296766.0,259985.0,20296.0,,45060066.0,293358933.0,557937.0,0.4560237581118553,1.0302012840032186,126.60309174074781,824.2364293822138,0.7525283516941549,0.05874691011398568,,0.7304673012733341,0.05702469121927646,,0.8760605999339547,0.06839058382698826,,arcade,us_m4a3_105_sherman,us_m4a3_105_sherman,exp_tank,,tank,,2.0,3.0,,3.0,,3.0,,,,,,usa,False,,False,,False,,True,,False
M4A1,252344.0,258712.0,117129.0,135215.0,216096.0,223905.0,20111.0,,36758177.0,221312306.0,431653.0,0.4641639983514567,1.025235392955648,142.08145350814806,855.4388895760537,0.8873006689281299,0.07969676314871763,,0.8654604347691641,0.0777350876650484,,1.0361367170146603,0.09306511920627869,,arcade,us_m4a1_1942_sherman,us_m4a1_1942_sherman,exp_tank,,tank,,2.0,3.3,,3.3,,3.3,,,,,,usa,False,,False,,False,,True,,True
M10 GMC,336847.0,344070.0,153648.0,183199.0,302452.0,228393.0,21551.0,,38957123.0,333644927.0,561693.0,0.45613587177561327,1.0214429696568472,113.22441073037463,969.7007207835615,0.6780318660994458,0.06397860156094606,,0.6637980643473712,0.06263551021594443,,0.7551380053694471,0.0712542816711412,,arcade,us_m10,us_m10,exp_tank_destroyer,,tank,,2.0,3.7,,3.3,,3.3,,,,,,usa,False,,False,,False,,True,,True
M16 MGMC,67666.0,69114.0,27341.0,40325.0,46239.0,8429.0,46806.0,,4689913.0,34393220.0,246468.0,0.40405816806076905,1.0213992256081341,67.8576409989293,497.6302919813641,0.1245677297313274,0.6917211007004995,,0.12195792458836126,0.6772289261220592,,0.18229200458487424,1.0122623759164342,,arcade,us_halftrack_m16,us_halftrack_m16,exp_SPAA,,tank,,2.0,2.7,,2.7,,2.7,,,,,,usa,False,,False,,False,,True,,True
